appid,2d,2d_fighter,3d,3d_platformer,abstract,action,action_adventure,addictive,adventure,anime,arcade,atmospheric,base_building,battle_royale,beat_em_up,bullet_hell,card_game,cartoon,casual,cinematic,city_builder,clicker,co_op,comedy,competitive,crafting,crime,dating_sim,difficult,driving,emotional,exploration,fps,fantasy,fighting,first_person,free_to_play,futuristic,hack_and_slash,horror,indie,isometric,local_co_op,logic,loot,mmorpg,moba,massively_multiplayer,medieval,military,moddable,multiplayer,open_world,pixel_graphics,platformer,psychological,puzzle,pve,pvp,rpg,rts,racing,realistic,relaxing,retro,rhythm,rogue_like,sandbox,sci_fi,shooter,short,simulation,singleplayer,space,split_screen,sports,strategy,survival,tactical,team_based,text_based,third_person,thriller,tower_defense,trading,trading_card_game,turn_based,vr,violent,war,zombies
10,0,0,0,0,0,2681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0,0,0,0,0,0,0,2048,0,0,799,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,1659,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,1420,0,0,0,0,0,0,329,192,734,943,0,0,0,0,0,0,0,0,40,0,0
20,0,0,0,0,0,208,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,48,0,0,0,0,0,0,0,188,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,134,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,26,0,0
30,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,138,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,16,0,0,0,0,0,14,79,0,0,0,0,0,0,0,0,0,80,0
40,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,211,0,0,87,0,0,73,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,235,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,50,16,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,166,144,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,13,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,30,24,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,766,0,0,306,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,929,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,441,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,666,503,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,377,0,0,40,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,311,0,0,140,0,0,0,11,0,0,0,0,0,0,0,0,0,62,0,224,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,14,171,0,0,0,85,22,144,131,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,187,0,0,66,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,144,106,55,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
220,0,0,0,0,0,1761,0,0,937,0,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2056,0,0,942,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,488,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,1589,1049,0,0,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607
240,0,0,0,0,0,1785,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,726,0,0,0,246,0,0,0,1617,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,527,339,1455,0,0,0,0,0,0,607,0,0,0,0,0,0,0,0,129,0,1222,0,174,250,0,0,0,329,202,797,948,0,0,0,0,0,0,0,0,0,417,0
280,0,0,0,0,0,186,0,0,68,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,111,0,0,0,32,0,0,0,0,0,0,0,0,0,0,24,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,118,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
300,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,287,0,0,102,0,0,0,0,0,0,0,0,0,0,0,23,0,148,0,227,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,166,0,20,0,0,0,0,30,0,78,157,0,0,0,0,0,0,0,0,0,118,0
320,0,0,0,0,0,199,0,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0,41,0,70,0,0,0,0,0,0,0,194,0,0,96,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,208,0,0,67,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,119,30,59,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,104,121,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
