appid,action,adventure,base_building,battle_royale,card_game,cartoon,casual,co_op,competitive,crafting,exploration,fps,fantasy,fighting,moba,massively_multiplayer,open_world,puzzle,rpg,rts,racing,realistic,relaxing,simulation,singleplayer,sports,strategy,survival,tactical,turn_based,","
10,2681,0,0,0,0,0,0,0,790,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,192,734,0,","
20,208,15,0,0,0,0,0,62,48,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
30,99,0,0,0,0,0,0,12,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,14,0,","
40,85,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
50,211,87,0,0,0,0,0,27,0,0,0,235,0,0,0,0,0,18,0,0,0,0,0,0,148,0,0,0,0,0,","
60,108,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
70,766,306,0,0,0,0,0,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,","
80,377,40,0,0,0,0,0,0,139,0,0,311,0,0,0,0,16,0,0,0,0,0,0,14,171,0,85,22,144,0,","
130,187,66,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,10,0,0,0,0,0,0,136,0,0,0,0,0,","
220,1761,937,0,0,0,0,0,0,0,0,0,2056,0,0,0,0,0,403,0,0,0,0,0,0,1315,0,0,0,0,0,","
240,1785,0,0,0,0,0,0,0,726,0,0,1617,0,0,0,0,0,0,0,0,0,0,0,174,250,0,329,202,797,0,","
280,186,68,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,","
300,224,0,0,0,0,0,0,0,0,0,0,287,0,0,0,23,0,0,0,0,0,66,0,20,0,0,30,0,78,0,","
320,199,14,0,0,0,0,0,41,70,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
340,208,67,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,","
360,101,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,","
380,354,165,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0,74,0,0,0,0,0,0,264,0,0,0,0,0,","
400,674,377,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,2082,0,0,0,0,0,0,1214,0,228,0,0,0,","
420,444,206,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,97,0,0,0,0,0,0,318,0,0,0,0,0,","
440,8188,0,0,0,0,2450,0,3920,4116,2491,0,9248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2726,0,","
500,633,184,0,0,0,0,0,735,158,0,0,665,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,336,171,0,","
550,2804,896,0,0,0,0,0,3617,0,0,0,3338,0,0,0,0,0,0,0,0,0,0,0,0,947,0,0,1886,806,0,","
570,5168,0,0,0,0,0,0,2264,4075,0,0,0,2382,0,8830,0,0,0,2447,2594,0,0,0,1233,0,0,8242,0,0,0,","
620,1225,1644,0,0,0,0,0,2871,0,0,0,752,0,0,0,0,0,4024,0,0,0,0,0,0,1849,0,650,0,0,0,","
630,505,90,0,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,93,201,0,0,","
730,12973,0,0,0,0,0,0,5594,11749,0,0,20508,0,0,0,0,0,0,0,0,0,3998,0,0,0,0,5573,0,10277,0,","
1200,110,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,79,0,36,55,0,18,0,46,0,","
1250,832,100,0,0,0,0,0,1111,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,895,0,0,","
1300,59,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,","
1309,53,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,","
1313,53,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,","
1500,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,42,0,91,0,0,0,","
1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,47,105,0,114,0,0,0,","
1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,40,21,0,202,0,25,0,","
1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,29,0,0,0,","
